price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_ids,player_name
,0,0,0,5280369,False,44,-52689,1,Balogun
,0,0,0,5280369,False,39,-8404,2,Cédric
,0,0,0,5280369,False,44,-6456,3,M.Elneny
,0,0,0,5280369,False,54,-7227,4,Fábio Vieira
,0,0,0,5280369,False,50,-1014564,5,Gabriel
,0,0,0,5280369,False,71,-310735,6,Havertz
,0,0,0,5280369,False,80,55703,8,G.Jesus
,0,0,0,5280369,False,53,-9677,9,Jorginho
,0,0,0,5280369,False,43,-4227,10,Kiwior
,0,0,0,5280369,False,45,-10986,11,Marquinhos
,0,0,0,5280369,False,77,-817556,12,Martinelli
,0,0,0,5280369,False,52,-51828,13,Nketiah
,0,0,0,5280369,False,85,-897146,14,Ødegaard
,0,0,0,5280369,True,48,-28807,15,Thomas
,0,0,0,5280369,False,49,-5747,16,Pepe
,0,0,0,5280369,False,45,-1194420,17,Ramsdale
,0,0,0,5280369,False,40,-10184,18,Rúnarsson
,0,0,0,5280369,False,90,223139,19,Saka
,0,0,0,5280369,False,56,1578472,20,Saliba
,0,0,0,5280369,False,53,-11023,22,Smith Rowe
,0,0,0,5280369,False,44,-25965,24,Tierney
,0,0,0,5280369,False,45,-9508,25,Tomiyasu
,0,0,0,5280369,False,65,-388240,26,Trossard
,0,0,0,5280369,False,56,63176,29,White
,0,0,0,5280369,False,60,-1220,30,Xhaka
,0,0,0,5280369,False,52,351934,31,Zinchenko
,0,0,0,5280369,False,49,100527,113,Raya
,0,0,0,5280369,False,54,-207134,540,Rice
,0,0,0,5280369,False,48,-1344,578,Nelson
,0,0,0,5280369,True,46,-467129,585,J.Timber
,0,0,0,5280369,False,40,655,646,Hein
,0,0,0,5280369,False,45,162,735,Sagoe
,0,0,0,5280369,False,40,1026,736,Walters
,0,0,0,5280369,False,45,106,737,Ibrahim
,0,0,0,5280369,False,45,45,764,Lewis-Skelly
,0,0,0,5280369,False,45,30,772,Nwaneri
,0,0,0,5280369,False,51,190166,32,Alex Moreno
,0,0,0,5280369,False,56,260955,34,Bailey
,0,0,0,5280369,True,57,-16363,35,Buendia
,0,0,-1,5280369,False,46,743575,36,Cash
,0,0,0,5280369,False,38,-37268,37,Chambers
,0,0,0,5280369,False,58,-42967,38,Coutinho
,0,0,0,5280369,False,49,-18227,39,Davis
,0,0,0,5280369,False,49,-987,40,Dendoncker
,0,0,0,5280369,False,44,15152,41,Diego Carlos
,0,0,0,5280369,False,46,101557,42,Digne
,0,0,0,5280369,False,56,623845,43,Douglas Luiz
,0,0,0,5280369,True,50,2138,44,Duran
,0,0,0,5280369,False,39,-6084,45,Hause
,0,0,0,5280369,False,44,-2255,46,Iroegbunam
,0,0,0,5280369,False,50,-3292,47,Kamara
,0,0,0,5280369,True,46,204690,48,Konsa
,0,0,0,5280369,False,52,441014,49,Martinez
,0,0,0,5280369,False,55,104686,50,McGinn
,0,0,0,5280369,True,41,-1060766,51,Mings
,0,0,0,5280369,False,39,-30076,53,Olsen
,0,0,0,5280369,False,45,-10810,54,Philogene
,0,0,0,5280369,False,59,-5916,55,J.Ramsey
,0,0,0,5280369,False,45,-617,56,Sanson
,0,0,0,5280369,False,40,-376,57,Sinisalo
,0,0,0,5280369,False,56,-74745,58,Tielemans
,0,0,0,5280369,False,50,-1937,59,Bertrand Traoré
,0,0,0,5280369,False,88,3014683,60,Watkins
,0,0,0,5280369,False,50,-785,61,Wesley
,0,0,0,5280369,False,46,55040,584,Pau
,0,0,0,5280369,False,65,94643,599,Diaby
,0,0,0,5280369,False,45,-743,618,Kellyman
,0,0,0,5280369,False,40,714,670,Marschall
,0,0,0,5280369,False,54,960,672,Zaniolo
,0,0,0,5280369,False,40,860,686,Zych
,0,0,0,5280369,False,45,12040,699,Lenglet
,0,0,0,5280369,False,40,162,765,Proctor
,0,0,0,5280369,False,45,110,767,O'Reilly
,0,0,0,5280369,False,40,89,778,Wright
,0,0,0,5280369,False,40,136,793,Kesler-Hayden
,0,0,0,5280369,False,50,230,803,Rogers
,0,0,0,5280369,False,49,-11180,62,Anthony
,0,0,0,5280369,False,52,-44243,63,Billing
,0,0,0,5280369,False,47,-5574,64,Brooks
,0,0,0,5280369,False,50,2560,65,Christie
,0,0,0,5280369,False,50,-1368,66,L.Cook
,0,0,0,5280369,False,45,-392,67,Siriki
,0,0,0,5280369,True,43,-1609,68,Fredericks
,0,0,0,5280369,True,40,-15399,69,Hill
,0,0,0,5280369,False,45,-33,70,Kelly
,0,0,0,5280369,False,43,-2287,71,Kilkenny
,0,0,0,5280369,False,46,-14472,72,Kluivert
,0,0,0,5280369,False,49,-1183,73,Lowe
,0,0,0,5280369,False,43,-505,74,Marcondes
,0,0,0,5280369,False,43,-4593,75,Mepham
,0,0,0,5280369,False,46,-29569,76,Moore
,0,0,0,5280369,False,46,241825,77,Neto
,0,0,0,5280369,False,47,-4113,78,O.Dango
,0,0,0,5280369,False,45,-109,79,Pearson
,0,0,0,5280369,False,40,-19566,80,Randolph
,0,0,0,5280369,False,48,-1088,81,Rothwell
,0,0,0,5280369,False,45,57341,82,Semenyo
,0,0,0,5280369,False,45,290853,83,Senesi
,0,0,0,5280369,False,44,7316,84,Smith
,0,0,0,5280369,False,71,2401419,85,Solanke
,0,0,0,5280369,False,54,49070,86,Tavernier
,0,0,0,5280369,False,47,-1522,87,Hamed Traorè
,0,0,0,5280369,False,40,-8732,88,Travers
,0,0,0,5280369,False,44,6928,89,Zabarnyi
,0,0,0,5280369,False,44,-8623,595,Kerkez
,0,0,0,5280369,False,44,-4002,607,Radu
,0,0,0,5280369,False,40,-2138,619,Greenwood
,0,0,0,5280369,True,44,-2254,643,Aarons
,0,0,0,5280369,False,49,1503,644,Scott
,0,0,0,5280369,True,49,26,673,Adams
,0,0,0,5280369,False,55,2081,705,Sinisterra
,0,0,0,5280369,False,50,32,799,Faivre
,0,0,0,5280369,False,40,53,802,Kinsey-Wellings
,0,0,0,5280369,False,50,370,804,Enes Ünal
,0,0,0,5280369,False,44,-12345,90,Ajer
,0,0,0,5280369,False,39,-6326,91,Balcombe
,0,0,0,5280369,False,43,-209756,92,Baptiste
,0,0,0,5280369,False,40,-13348,93,Bech
,0,0,0,5280369,False,45,-133,94,Bidstrup
,0,0,0,5280369,False,50,-3531,95,Canós
,0,0,0,5280369,False,45,1849,96,Collins
,0,0,0,5280369,False,40,-530,97,Cox
,0,0,0,5280369,False,48,-8124,98,Damsgaard
,0,0,0,5280369,False,47,-9582,99,Dasilva
,0,0,0,5280369,False,45,-833,100,Dervişoğlu
,0,0,0,5280369,False,45,40118,101,Flekken
,0,0,0,5280369,False,39,235,102,Goode
,0,0,0,5280369,True,43,-170626,103,Henry
,0,0,0,5280369,True,44,-19261,104,Hickey
,0,0,0,5280369,False,53,-3052,105,Janelt
,0,0,0,5280369,False,54,-16877,106,Jensen
,0,0,0,5280369,False,47,3518,107,Lewis-Potter
,0,0,0,5280369,True,68,-426486,108,Mbeumo
,0,0,0,5280369,False,48,-437597,109,Mee
,0,0,0,5280369,False,53,-6453,110,Nørgaard
