price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
0,-20,-20,0,5131753,False,44,-52807,Balogun
0,-76,-76,0,5131753,False,39,-8739,Cédric
0,0,0,0,5131753,False,44,-6479,M.Elneny
0,-12,-12,0,5131753,False,54,-7271,Fábio Vieira
0,72970,36485,1,5131753,False,51,-904188,Gabriel
0,-295,-295,0,5131753,False,71,-312428,Havertz
0,-17,-17,0,5131753,True,43,-10137,Holding
0,-7027,-7027,0,5131753,False,79,-22723,G.Jesus
0,-17,-17,0,5131753,False,53,-9545,Jorginho
0,405,405,0,5131753,False,43,-3230,Kiwior
0,-8,-8,0,5131753,False,45,-11005,Marquinhos
0,-3828,-3828,0,5131753,False,77,-811348,Martinelli
0,-1442,-1442,0,5131753,False,52,-64340,Nketiah
0,-2225,-2225,0,5131753,False,84,-971863,Ødegaard
0,-8,-8,0,5131753,True,48,-28863,Thomas
0,0,0,0,5131753,False,49,-5759,Pepe
0,-1158,-1158,0,5131753,False,45,-1200311,Ramsdale
0,-12,-12,0,5131753,False,40,-10237,Rúnarsson
0,15430,15430,0,5131753,False,90,150975,Saka
0,14956,14956,0,5131753,False,56,1549190,Saliba
0,6,6,0,5131753,False,49,-141,Sambi
0,-31,-31,0,5131753,False,53,-11069,Smith Rowe
0,74,74,0,5131753,False,40,-8522,Tavares
0,-4,-4,0,5131753,False,44,-25997,Tierney
0,-58,-58,0,5131753,False,45,-9609,Tomiyasu
0,3238,3238,0,5131753,False,65,-380614,Trossard
0,-248,-248,0,5131753,False,39,113126,Trusty
0,-1207,-1207,0,5131753,False,39,-110551,Turner
0,258,258,0,5131753,False,56,44414,White
0,0,0,0,5131753,False,60,-1223,Xhaka
0,-20273,-20273,0,5131753,False,52,238142,Zinchenko
0,1282,1282,0,5131753,False,51,235352,Alex Moreno
0,4247,4247,0,5131753,False,43,-36886,Archer
0,400,400,0,5131753,False,56,255944,Bailey
0,-6,-6,0,5131753,True,57,-16367,Buendia
0,-6305,-6305,0,5131753,False,46,684802,Cash
0,3068,3068,0,5131753,False,38,-20677,Chambers
0,-7,-7,0,5131753,False,58,-43006,Coutinho
0,-7,-7,0,5131753,False,49,-18267,Davis
0,-27,-27,0,5131753,False,49,-1177,Dendoncker
0,546,546,0,5131753,False,44,19779,Diego Carlos
0,-809,-809,0,5131753,False,46,87083,Digne
0,10548,10548,0,5131753,False,55,606022,Douglas Luiz
0,-83,-83,0,5131753,True,50,1505,Duran
0,-16,-16,0,5131753,False,39,-6128,Hause
0,5,5,0,5131753,False,44,-2249,Iroegbunam
0,-34,-34,0,5131753,False,50,-3182,Kamara
0,-13334,-6667,-1,5131753,True,45,102968,Konsa
0,-1853,-1853,0,5131753,False,52,433506,Martinez
0,-1424,-1424,0,5131753,False,55,100069,McGinn
0,-111,-111,0,5131753,True,41,-1061472,Mings
0,-264,-264,0,5131753,True,44,-73151,Nakamba
0,-12,-12,0,5131753,False,39,-30235,Olsen
0,-5,-5,0,5131753,False,45,-10829,Philogene
0,85,85,0,5131753,False,59,-5836,J.Ramsey
0,0,0,0,5131753,False,45,-620,Sanson
0,-1,-1,0,5131753,False,40,-381,Sinisalo
0,-80,-80,0,5131753,False,56,-74449,Tielemans
0,-9,-9,0,5131753,False,50,-1974,Bertrand Traoré
0,-123434,-61717,-1,5131753,False,87,2787502,Watkins
0,0,0,0,5131753,False,50,-785,Wesley
0,-1,-1,0,5131753,False,49,-11191,Anthony
