price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_ids,player_name
,0,0,0,4989933,False,55,7785,249,A.Doucoure
,0,0,0,4989933,False,49,2386,250,Garner
,0,0,0,4989933,False,44,-2162,251,Gbamin
,0,0,0,4989933,False,43,-7143,252,Godfrey
,0,0,0,4989933,False,53,-29138,253,Gray
,0,0,0,4989933,False,48,-2791,254,Gana
,0,0,0,4989933,False,43,-10785,257,Keane
,0,0,0,4989933,False,54,16302,259,McNeil
,0,0,0,4989933,False,46,591821,260,Mykolenko
,0,0,0,4989933,False,47,-12616,261,Onana
,0,0,0,4989933,False,44,-8756,262,Patterson
,0,0,1,4989933,False,46,-274056,263,Pickford
,0,0,0,4989933,False,45,-3668,264,Simms
,0,0,0,4989933,False,46,366788,265,Tarkowski
,0,0,0,4989933,False,39,-10255,266,J.Virginia
,0,0,0,4989933,False,39,-1738,579,Lonergan
,0,0,0,4989933,False,44,-42833,588,Young
,0,0,0,4989933,True,52,-9752,601,Danjuma
,0,0,0,4989933,False,45,524,624,Dobbin
,0,0,0,4989933,False,48,-2403,645,Y. Chermiti
,0,0,0,4989933,False,45,-1343,649,Cannon
,0,0,0,4989933,False,44,125,650,Onyango
,0,0,0,4989933,False,55,10207,661,Harrison
,0,0,0,4989933,False,57,5990,691,Beto
,0,0,0,4989933,False,45,222,719,Hunt
,0,0,0,4989933,False,45,38,760,Metcalfe
,0,0,0,4989933,False,40,75,761,Campbell
,0,0,0,4989933,False,49,12415,193,Broja
,0,0,0,4989933,False,53,-51509,256,Iwobi
,0,0,0,4989933,False,53,-26330,267,Andreas
,0,0,0,4989933,False,49,2718,268,Cairney
,0,0,0,4989933,False,50,-1008,269,I.Cavaleiro
,0,0,0,4989933,False,53,674,270,De Cordova-Reid
,0,0,0,4989933,False,44,-26915,271,Diop
,0,0,0,4989933,False,44,-1654,272,Francois
,0,0,0,4989933,False,44,-7124,273,Knockaert
