price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
0,0,0,0,5130020,False,44,-52787,Balogun
0,0,0,0,5130020,False,39,-8663,Cédric
0,0,0,0,5130020,False,44,-6479,M.Elneny
0,0,0,0,5130020,False,54,-7259,Fábio Vieira
1,0,0,0,5130020,False,50,-940673,Gabriel
0,0,0,0,5130020,False,71,-312133,Havertz
0,0,0,0,5130020,True,43,-10120,Holding
0,0,0,0,5130020,False,79,-15696,G.Jesus
0,0,0,0,5130020,False,53,-9528,Jorginho
0,0,0,0,5130020,False,43,-3635,Kiwior
0,0,0,0,5130020,False,45,-10997,Marquinhos
0,0,0,0,5130020,False,77,-807520,Martinelli
0,0,0,0,5130020,False,52,-62898,Nketiah
0,0,0,0,5130020,False,84,-969638,Ødegaard
0,0,0,0,5130020,True,48,-28855,Thomas
0,0,0,0,5130020,False,49,-5759,Pepe
0,0,0,0,5130020,False,45,-1199153,Ramsdale
0,0,0,0,5130020,False,40,-10225,Rúnarsson
0,0,0,0,5130020,False,90,135545,Saka
0,0,0,0,5130020,False,56,1534234,Saliba
0,0,0,0,5130020,False,49,-147,Sambi
0,0,0,0,5130020,False,53,-11038,Smith Rowe
0,0,0,0,5130020,False,40,-8596,Tavares
0,0,0,0,5130020,False,44,-25993,Tierney
0,0,0,0,5130020,False,45,-9551,Tomiyasu
0,0,0,0,5130020,False,65,-383852,Trossard
0,0,0,0,5130020,False,39,113374,Trusty
0,0,0,0,5130020,False,39,-109344,Turner
0,0,0,0,5130020,False,56,44156,White
0,0,0,0,5130020,False,60,-1223,Xhaka
0,0,0,0,5130020,False,52,258415,Zinchenko
0,0,0,0,5130020,False,51,234070,Alex Moreno
0,0,0,0,5130020,False,43,-41133,Archer
0,0,0,0,5130020,False,56,255544,Bailey
0,0,0,0,5130020,True,57,-16361,Buendia
0,0,0,0,5130020,False,46,691107,Cash
0,0,0,0,5130020,False,38,-23745,Chambers
0,0,0,0,5130020,False,58,-42999,Coutinho
0,0,0,0,5130020,False,49,-18260,Davis
0,0,0,0,5130020,False,49,-1150,Dendoncker
0,0,0,0,5130020,False,44,19233,Diego Carlos
0,0,0,0,5130020,False,46,87892,Digne
0,0,0,0,5130020,False,55,595474,Douglas Luiz
0,0,0,0,5130020,True,50,1588,Duran
0,0,0,0,5130020,False,39,-6112,Hause
0,0,0,0,5130020,False,44,-2254,Iroegbunam
0,0,0,0,5130020,False,50,-3148,Kamara
-1,0,0,0,5130020,True,46,109635,Konsa
0,0,0,0,5130020,False,52,435359,Martinez
0,0,0,0,5130020,False,55,101493,McGinn
0,0,0,0,5130020,True,41,-1061361,Mings
0,0,0,0,5130020,True,44,-72887,Nakamba
0,0,0,0,5130020,False,39,-30223,Olsen
0,0,0,0,5130020,False,45,-10824,Philogene
0,0,0,0,5130020,False,59,-5921,J.Ramsey
0,0,0,0,5130020,False,45,-620,Sanson
0,0,0,0,5130020,False,40,-380,Sinisalo
0,0,0,0,5130020,False,56,-74369,Tielemans
0,0,0,0,5130020,False,50,-1965,Bertrand Traoré
-1,0,0,0,5130020,False,88,2849219,Watkins
0,0,0,0,5130020,False,50,-785,Wesley
0,0,0,0,5130020,False,49,-11190,Anthony
0,0,0,0,5130020,False,52,-47416,Billing
0,0,0,0,5130020,False,47,-5805,Brooks
0,0,0,0,5130020,False,50,2288,Christie
0,0,0,0,5130020,False,50,-1332,L.Cook
0,0,0,0,5130020,False,45,-392,Siriki
0,0,0,0,5130020,True,43,-1601,Fredericks
0,0,0,0,5130020,True,40,-15464,Hill
0,0,0,0,5130020,False,45,332,Kelly
0,0,0,0,5130020,False,43,-2619,Kilkenny
0,0,0,0,5130020,False,46,-13584,Kluivert
0,0,0,0,5130020,False,49,-1187,Lowe
0,0,0,0,5130020,False,43,-619,Marcondes
0,0,0,0,5130020,False,43,-4583,Mepham
0,0,0,0,5130020,False,46,-30409,Moore
0,0,0,0,5130020,False,46,242519,Neto
0,0,0,0,5130020,False,47,-4089,O.Dango
0,0,0,0,5130020,False,45,-109,Pearson
0,0,0,0,5130020,False,40,-19715,Randolph
0,0,0,0,5130020,False,48,-1114,Rothwell
0,0,0,0,5130020,False,45,51495,Semenyo
0,0,0,0,5130020,False,45,288470,Senesi
0,0,0,0,5130020,False,44,7561,Smith
-1,0,0,0,5130020,False,70,2040087,Solanke
