player_ids,price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
1,,-84,-13,0,4995264,False,44,-52986,Balogun
2,,-348,-102,0,4995264,False,39,-9315,Cédric
3,,-31,-17,0,4995264,False,44,-6477,M.Elneny
4,,-25,0,0,4995264,False,54,-7328,Fábio Vieira
5,,147882,46047,1,4995264,False,52,-404365,Gabriel
6,,4525,1273,0,4995264,False,71,-308872,Havertz
7,,-38,-4,0,4995264,True,43,-10250,Holding
8,,-13917,-2960,0,4995264,False,78,-75317,G.Jesus
9,,-86,-7,0,4995264,False,53,-9705,Jorginho
10,,17391,4364,0,4995264,False,43,18836,Kiwior
11,,-14,-4,0,4995264,False,45,-11032,Marquinhos
12,,4160,2283,0,4995264,False,77,-825307,Martinelli
13,,-6011,-920,0,4995264,False,51,-75925,Nketiah
14,,130685,38576,0,4995264,False,84,-864210,Ødegaard
15,,-56,-9,0,4995264,False,48,-28974,Thomas
16,,-6,-1,0,4995264,False,49,-5775,Pepe
17,,-4891,-917,0,4995264,False,45,-1211397,Ramsdale
18,,-73,-18,0,4995264,False,40,-10369,Rúnarsson
19,,138963,75113,1,4995264,False,91,475780,Saka
20,,113886,25231,1,4995264,False,57,1797400,Saliba
21,,-93,-63,0,4995264,False,49,-226,Sambi
22,,-46,-9,0,4995264,False,53,-11339,Smith Rowe
23,,4784,1154,0,4995264,False,40,-2805,Tavares
24,,-16,-2,0,4995264,False,44,-26037,Tierney
25,,-377,-116,0,4995264,False,45,-10359,Tomiyasu
26,,42009,9181,0,4995264,False,65,-319803,Trossard
27,,-2112,-656,0,4995264,False,39,108844,Trusty
28,,-13320,-4438,0,4995264,False,39,-143627,Turner
29,,19038,3502,0,4995264,False,56,74503,White
30,,-1,0,0,4995264,False,60,-1226,Xhaka
31,,-60775,-16556,0,4995264,False,51,61795,Zinchenko
32,,39269,25965,1,4995264,False,52,325982,Alex Moreno
33,,-27771,-9284,0,4995264,False,43,-41269,Archer
34,,23957,9164,0,4995264,False,56,279443,Bailey
35,,-4,-2,0,4995264,True,57,-16372,Buendia
36,,35324,11117,0,4995264,False,46,692659,Cash
37,,6738,924,0,4995264,False,38,15643,Chambers
38,,-36,-9,0,4995264,False,58,-43073,Coutinho
39,,-38,-8,0,4995264,False,49,-18343,Davis
40,,-58,-18,0,4995264,False,49,-1354,Dendoncker
41,,-8790,-2141,0,4995264,True,44,-465,Diego Carlos
42,,3980,1121,0,4995264,False,46,91111,Digne
43,,68503,22003,0,4995264,False,55,713944,Douglas Luiz
44,,-337,-78,0,4995264,True,50,790,Duran
45,,-46,-27,0,4995264,False,39,-6072,Hause
46,,3,5,0,4995264,False,44,-2212,Iroegbunam
47,,-363,-59,0,4995264,True,50,-4212,Kamara
48,,-19165,-5462,0,4995264,True,45,40212,Konsa
49,,19856,11404,1,4995264,False,53,472228,Martinez
50,,-1606,183,0,4995264,False,55,90707,McGinn
51,,-600,-171,0,4995264,True,41,-1062812,Mings
52,,-1120,-343,0,4995264,True,44,-76213,Nakamba
53,,-293,-120,0,4995264,False,39,-30394,Olsen
54,,-11,-4,0,4995264,False,45,-10855,Philogene
55,,867,341,0,4995264,False,59,-4585,J.Ramsey
56,,-2,0,0,4995264,False,45,-623,Sanson
57,,-1,0,0,4995264,False,40,-382,Sinisalo
58,,1131,398,0,4995264,False,56,-73394,Tielemans
59,,-9,0,0,4995264,False,50,-2002,Bertrand Traoré
60,,232435,97333,0,4995264,False,87,2679759,Watkins
61,,-2,-1,0,4995264,False,50,-789,Wesley
62,,-14,-2,0,4995264,False,49,-11215,Anthony
63,,-372,-194,-1,4995264,False,51,-50458,Billing
64,,-110,-27,0,4995264,False,47,-6121,Brooks
65,,-71,-32,0,4995264,False,50,2067,Christie
66,,-11,-1,0,4995264,False,50,-1373,L.Cook
67,,0,0,0,4995264,False,45,-392,Siriki
68,,-8,-7,0,4995264,True,43,-1604,Fredericks
69,,-66,-10,0,4995264,True,40,-15638,Hill
70,,213,70,0,4995264,False,45,438,Kelly
71,,-167,-33,0,4995264,False,43,-3076,Kilkenny
