price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_ids,player_name
,0,0,0,4993946,False,44,-52973,1,Balogun
,0,0,0,4993946,False,39,-9213,2,Cédric
,0,0,0,4993946,False,44,-6460,3,M.Elneny
,0,0,0,4993946,False,54,-7328,4,Fábio Vieira
,0,0,1,4993946,False,52,-450412,5,Gabriel
,0,0,0,4993946,False,71,-310145,6,Havertz
,0,0,0,4993946,False,78,-72357,8,G.Jesus
,0,0,0,4993946,False,53,-9698,9,Jorginho
,0,0,0,4993946,False,43,14472,10,Kiwior
,0,0,0,4993946,False,45,-11028,11,Marquinhos
,0,0,0,4993946,False,77,-827590,12,Martinelli
,0,0,0,4993946,False,51,-75005,13,Nketiah
,0,0,0,4993946,False,84,-902786,14,Ødegaard
,0,0,0,4993946,True,48,-28965,15,Thomas
,0,0,0,4993946,False,49,-5774,16,Pepe
,0,0,0,4993946,False,45,-1210480,17,Ramsdale
,0,0,0,4993946,False,40,-10351,18,Rúnarsson
,0,0,1,4993946,False,91,400667,19,Saka
,0,0,1,4993946,False,57,1772169,20,Saliba
,0,0,0,4993946,False,53,-11330,22,Smith Rowe
,0,0,0,4993946,False,44,-26035,24,Tierney
,0,0,0,4993946,False,45,-10243,25,Tomiyasu
,0,0,0,4993946,False,65,-328984,26,Trossard
,0,0,0,4993946,False,56,71001,29,White
,0,0,0,4993946,False,60,-1226,30,Xhaka
,0,0,0,4993946,False,51,78351,31,Zinchenko
,0,0,0,4993946,False,50,173130,113,Raya
,0,0,0,4993946,False,54,-150641,540,Rice
,0,0,0,4993946,False,48,-1310,578,Nelson
,0,0,0,4993946,True,46,-467529,585,J.Timber
,0,0,0,4993946,False,40,664,646,Hein
,0,0,0,4993946,False,45,108,735,Sagoe
,0,0,0,4993946,False,40,1239,736,Walters
,0,0,0,4993946,False,45,52,737,Ibrahim
,0,0,0,4993946,False,45,134,764,Lewis-Skelly
,0,0,0,4993946,False,45,76,772,Nwaneri
,0,0,0,4993946,False,45,34,815,Bandeira
,0,0,0,4993946,False,40,40,817,Sweet
,0,0,1,4993946,False,52,300017,32,Alex Moreno
,0,0,0,4993946,False,56,270279,34,Bailey
,0,0,0,4993946,True,57,-16370,35,Buendia
,0,0,0,4993946,False,46,681542,36,Cash
,0,0,0,4993946,False,38,14719,37,Chambers
,0,0,0,4993946,False,58,-43064,38,Coutinho
,0,0,0,4993946,False,49,-18335,39,Davis
,0,0,0,4993946,False,49,-1336,40,Dendoncker
,0,0,0,4993946,True,44,1676,41,Diego Carlos
,0,0,0,4993946,False,46,89990,42,Digne
,0,0,0,4993946,False,55,691941,43,Douglas Luiz
,0,0,0,4993946,True,50,868,44,Duran
,0,0,0,4993946,False,39,-6045,45,Hause
,0,0,0,4993946,False,44,-2217,46,Iroegbunam
,0,0,0,4993946,True,50,-4153,47,Kamara
,0,0,0,4993946,True,45,45674,48,Konsa
,0,0,1,4993946,False,53,460824,49,Martinez
,0,0,0,4993946,False,55,90524,50,McGinn
,0,0,0,4993946,True,41,-1062641,51,Mings
,0,0,0,4993946,False,39,-30274,53,Olsen
,0,0,0,4993946,False,45,-10851,54,Philogene
,0,0,0,4993946,False,59,-4926,55,J.Ramsey
,0,0,0,4993946,False,45,-623,56,Sanson
,0,0,0,4993946,False,40,-382,57,Sinisalo
,0,0,0,4993946,False,56,-73792,58,Tielemans
,0,0,0,4993946,False,50,-2002,59,Bertrand Traoré
,0,0,0,4993946,False,87,2582426,60,Watkins
,0,0,0,4993946,False,50,-788,61,Wesley
,0,0,0,4993946,False,46,82437,584,Pau
,0,0,0,4993946,False,64,-39251,599,Diaby
,0,0,0,4993946,False,45,-706,618,Kellyman
,0,0,0,4993946,False,40,511,670,Marschall
,0,0,0,4993946,False,54,785,672,Zaniolo
,0,0,0,4993946,False,40,723,686,Zych
,0,0,0,4993946,False,45,21660,699,Lenglet
,0,0,0,4993946,False,40,341,765,Proctor
,0,0,0,4993946,False,45,130,767,O'Reilly
,0,0,0,4993946,False,40,220,778,Wright
,0,0,0,4993946,False,40,506,793,Kesler-Hayden
,0,0,0,4993946,False,50,349,803,Rogers
,0,0,0,4993946,False,40,40,818,Gauci
,0,0,0,4993946,False,49,-11213,62,Anthony
,0,0,-1,4993946,False,51,-50264,63,Billing
,0,0,0,4993946,False,47,-6094,64,Brooks
,0,0,0,4993946,False,50,2099,65,Christie
,0,0,0,4993946,False,50,-1372,66,L.Cook
,0,0,0,4993946,False,45,-392,67,Siriki
,0,0,0,4993946,True,43,-1597,68,Fredericks
,0,0,0,4993946,True,40,-15628,69,Hill
,0,0,0,4993946,False,45,368,70,Kelly
,0,0,0,4993946,False,43,-3043,71,Kilkenny
,0,0,0,4993946,False,46,-15930,72,Kluivert
,0,0,0,4993946,False,49,-1188,73,Lowe
,0,0,0,4993946,False,43,-847,74,Marcondes
,0,0,0,4993946,False,43,-4599,75,Mepham
,0,0,0,4993946,False,46,-31372,76,Moore
,0,0,0,4993946,False,46,234566,77,Neto
,0,0,0,4993946,False,47,-4064,78,O.Dango
,0,0,0,4993946,False,45,-110,79,Pearson
,0,0,0,4993946,False,40,-20119,80,Randolph
,0,0,0,4993946,False,48,-1139,81,Rothwell
,0,0,0,4993946,False,45,56065,82,Semenyo
,0,0,0,4993946,False,45,326975,83,Senesi
,0,0,0,4993946,False,44,6720,84,Smith
,0,0,0,4993946,False,69,1696108,85,Solanke
,0,0,0,4993946,False,54,35450,86,Tavernier
,0,0,0,4993946,False,47,-1558,87,Hamed Traorè
,0,0,0,4993946,False,40,-8566,88,Travers
,0,0,0,4993946,False,44,6893,89,Zabarnyi
,0,0,0,4993946,False,44,-9246,595,Kerkez
,0,0,-1,4993946,False,43,-4126,607,Radu
,0,0,0,4993946,False,40,-3713,619,Greenwood
,0,0,0,4993946,True,44,-2852,643,Aarons
,0,0,0,4993946,False,49,1119,644,Scott
,0,0,0,4993946,True,49,41,673,Adams
,0,0,0,4993946,False,55,2584,705,Sinisterra
,0,0,0,4993946,False,50,29,799,Faivre
,0,0,0,4993946,False,40,326,802,Kinsey-Wellings
,0,0,0,4993946,False,50,896,804,Enes Ünal
,0,0,0,4993946,False,45,88,811,Sadi
,0,0,0,4993946,False,44,-11884,90,Ajer
,0,0,0,4993946,False,39,-6597,91,Balcombe
,0,0,0,4993946,False,43,-209582,92,Baptiste
,0,0,0,4993946,False,40,-13508,93,Bech
,0,0,0,4993946,False,45,-133,94,Bidstrup
,0,0,0,4993946,False,50,-3540,95,Canós
,0,0,0,4993946,False,45,9837,96,Collins
,0,0,0,4993946,False,40,-543,97,Cox
,0,0,0,4993946,False,48,-7926,98,Damsgaard
,0,0,0,4993946,True,47,-9699,99,Dasilva
,0,0,0,4993946,False,45,-842,100,Dervişoğlu
,0,0,0,4993946,False,45,141319,101,Flekken
,0,0,0,4993946,False,39,-1557,102,Goode
,0,0,0,4993946,True,43,-172790,103,Henry
,0,0,0,4993946,True,44,-19656,104,Hickey
,0,0,0,4993946,False,53,-1305,105,Janelt
,0,0,0,4993946,False,54,-1105,106,Jensen
,0,0,0,4993946,False,47,2780,107,Lewis-Potter
,0,0,0,4993946,True,68,-455978,108,Mbeumo
,0,0,0,4993946,False,48,-403466,109,Mee
,0,0,0,4993946,False,53,1824,110,Nørgaard
,0,0,0,4993946,False,49,-349,111,Onyeka
,0,0,0,4993946,True,46,66637,112,Pinnock
,0,0,0,4993946,False,44,920,114,Roerslev
,0,0,0,4993946,True,52,-7605,115,Schade
,0,0,0,4993946,False,39,116684,116,Strakosha
