price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
0,-71,-12,0,4992504,False,44,-52961,Balogun
0,-213,-53,0,4992504,False,39,-9127,Cédric
0,-9,0,0,4992504,False,44,-6455,M.Elneny
0,-24,-2,0,4992504,False,54,-7325,Fábio Vieira
0,89926,22320,1,4992504,False,52,-484641,Gabriel
0,2975,655,0,4992504,False,71,-311077,Havertz
0,-34,-7,0,4992504,True,43,-10239,Holding
0,-10147,-1709,0,4992504,False,78,-69838,G.Jesus
0,-53,-7,0,4992504,False,53,-9665,Jorginho
0,11867,2379,0,4992504,False,43,10933,Kiwior
0,-7,-1,0,4992504,False,45,-11024,Marquinhos
0,1346,1136,0,4992504,False,77,-829257,Martinelli
0,-4877,-879,0,4992504,False,51,-73912,Nketiah
0,84006,21534,0,4992504,False,84,-932423,Ødegaard
0,-44,-8,0,4992504,True,48,-28954,Thomas
0,-5,-1,0,4992504,False,49,-5773,Pepe
0,-3762,-703,0,4992504,False,45,-1209565,Ramsdale
0,-47,-11,0,4992504,False,40,-10332,Rúnarsson
1,202144,44019,0,4992504,False,90,336817,Saka
0,79614,14536,1,4992504,False,57,1748592,Saliba
0,22,8,0,4992504,False,49,-119,Sambi
0,-42,-4,0,4992504,False,53,-11331,Smith Rowe
0,3472,679,0,4992504,False,40,-4796,Tavares
0,-18,-6,0,4992504,False,44,-26033,Tierney
0,-246,-48,0,4992504,False,45,-10180,Tomiyasu
0,31840,6464,0,4992504,False,65,-336436,Trossard
0,-1094,-276,0,4992504,False,39,110138,Trusty
0,-7742,-1777,0,4992504,False,39,-136272,Turner
0,14396,2347,0,4992504,False,56,67514,White
0,0,0,0,4992504,False,60,-1225,Xhaka
0,-39199,-7743,0,4992504,False,51,91114,Zinchenko
1,30246,6592,0,4992504,False,51,286713,Alex Moreno
0,-16159,-4506,0,4992504,False,43,-25151,Archer
0,11828,3567,0,4992504,False,56,263747,Bailey
0,7,4,0,4992504,True,57,-16365,Buendia
0,20602,4036,0,4992504,False,46,673901,Cash
0,5882,1000,0,4992504,False,38,13787,Chambers
0,-26,-3,0,4992504,False,58,-43060,Coutinho
0,-29,-6,0,4992504,False,49,-18328,Davis
0,-41,-10,0,4992504,False,49,-1327,Dendoncker
0,-6076,-1120,0,4992504,True,44,3369,Diego Carlos
0,2459,490,0,4992504,False,46,89100,Digne
0,39055,10262,0,4992504,False,55,674234,Douglas Luiz
0,-252,-47,0,4992504,True,50,922,Duran
0,-15,-4,0,4992504,False,39,-6037,Hause
0,-3,0,0,4992504,False,44,-2218,Iroegbunam
0,-287,-42,0,4992504,True,50,-4094,Kamara
0,-12232,-2447,0,4992504,True,45,49592,Konsa
1,22779,4756,0,4992504,False,52,452372,Martinez
0,-1923,-179,0,4992504,False,55,90569,McGinn
0,-391,-79,0,4992504,True,41,-1062524,Mings
0,-703,-150,0,4992504,True,44,-75646,Nakamba
0,-121,-11,0,4992504,False,39,-30211,Olsen
0,-8,-2,0,4992504,False,45,-10850,Philogene
0,417,85,0,4992504,False,59,-5120,J.Ramsey
0,-3,-1,0,4992504,False,45,-623,Sanson
0,-1,0,0,4992504,False,40,-382,Sinisalo
0,562,107,0,4992504,False,56,-74070,Tielemans
0,-9,-1,0,4992504,False,50,-2001,Bertrand Traoré
0,108233,23032,0,4992504,False,87,2532525,Watkins
0,-1,0,0,4992504,False,50,-788,Wesley
0,-9,-1,0,4992504,False,49,-11209,Anthony
-1,-593,-122,0,4992504,False,52,-50086,Billing
0,-82,-13,0,4992504,False,47,-6080,Brooks
0,-32,1,0,4992504,False,50,2105,Christie
0,-10,3,0,4992504,False,50,-1375,L.Cook
0,0,0,0,4992504,False,45,-392,Siriki
0,-1,0,0,4992504,True,43,-1597,Fredericks
0,-44,-2,0,4992504,True,40,-15614,Hill
0,122,10,0,4992504,False,45,337,Kelly
0,-123,-21,0,4992504,False,43,-3011,Kilkenny
0,-40,-8,0,4992504,False,46,-15857,Kluivert
0,0,0,0,4992504,False,49,-1188,Lowe
0,-64,-11,0,4992504,False,43,-832,Marcondes
0,-7,0,0,4992504,False,43,-4599,Mepham
0,-250,-35,0,4992504,False,46,-31309,Moore
0,5573,1245,0,4992504,False,46,232141,Neto
0,-1,3,0,4992504,False,47,-4065,O.Dango
0,0,0,0,4992504,False,45,-110,Pearson
0,-139,-37,0,4992504,False,40,-20074,Randolph
0,-9,0,0,4992504,False,48,-1137,Rothwell
0,5726,1174,0,4992504,False,45,54764,Semenyo
0,22652,4555,0,4992504,False,45,319867,Senesi
0,46,10,0,4992504,False,44,6717,Smith
0,77613,14628,0,4992504,False,69,1667454,Solanke
0,132,106,0,4992504,False,54,35473,Tavernier
0,-6,-1,0,4992504,False,47,-1557,Hamed Traorè
0,-15,1,0,4992504,False,40,-8550,Travers
0,-110,-22,0,4992504,False,44,6921,Zabarnyi
0,177,42,0,4992504,False,44,-11917,Ajer
0,-54,-6,0,4992504,False,39,-6582,Balcombe
0,-496,-114,0,4992504,False,43,-209331,Baptiste
0,-17,-2,0,4992504,False,40,-13502,Bech
0,0,0,0,4992504,False,45,-133,Bidstrup
0,-1,0,0,4992504,False,50,-3540,Canós
0,-349,-124,0,4992504,False,45,10019,Collins
0,-4,-2,0,4992504,False,40,-540,Cox
0,-10,-6,0,4992504,False,48,-7919,Damsgaard
0,-8,-2,0,4992504,True,47,-9699,Dasilva
0,-2,0,0,4992504,False,45,-841,Dervişoğlu
0,6290,3043,0,4992504,False,45,137537,Flekken
0,-273,-42,0,4992504,False,39,-1474,Goode
0,-394,-71,0,4992504,True,43,-172693,Henry
0,-67,-12,0,4992504,True,44,-19641,Hickey
0,-126,-38,0,4992504,False,53,-1267,Janelt
0,-2054,-492,0,4992504,False,54,-188,Jensen
0,-236,-54,0,4992504,False,47,2877,Lewis-Potter
0,-5754,-1054,0,4992504,True,68,-454816,Mbeumo
0,1234,282,0,4992504,False,48,-403931,Mee
0,-468,-105,0,4992504,False,53,2012,Nørgaard
0,52,13,0,4992504,False,49,-374,Onyeka
0,-36503,-7006,0,4992504,True,46,77722,Pinnock
0,19431,2776,0,4992504,False,50,169761,Raya
0,-48,-8,0,4992504,False,44,910,Roerslev
0,-13,-2,0,4992504,True,52,-7600,Schade
0,-1631,-378,0,4992504,False,39,117201,Strakosha
0,1843,-760,0,4992504,False,82,945677,Toney
0,0,0,0,4992504,False,45,-1704,Trevitt
0,503,203,0,4992504,False,56,-248872,Wissa
0,234,49,0,4992504,False,43,-23708,Yarmoliuk
0,16,4,0,4992504,False,43,-4016,Zanka
0,42555,9177,0,4992504,False,50,30071,Adingra
0,-10,-2,0,4992504,False,44,-10654,Alzate
0,-4,-2,0,4992504,False,45,-4579,Ayari
0,1473,328,0,4992504,False,47,1540,Buonanotte
0,-56,-13,0,4992504,False,45,-203815,Caicedo
0,-1,0,0,4992504,False,45,-3905,Connolly
0,-41,-5,0,4992504,False,48,-10699,Dahoud
0,84510,20125,0,4992504,False,50,-91424,Dunk
0,-64,-8,0,4992504,True,50,-339712,Enciso
0,-5763,-114,0,4992504,False,50,-2381091,Estupiñan
0,-3483,-467,0,4992504,False,58,-239351,Ferguson
0,-122,-14,0,4992504,False,49,10747,Gilmour
1,114965,33132,0,4992504,False,64,292690,Gross
0,-51759,-9998,0,4992504,True,53,-1607832,João Pedro
0,-8,-2,0,4992504,False,40,-2398,Karbownik
0,0,0,0,4992504,False,45,-131,Kozłowski
0,-6,4,0,4992504,False,49,-3873,Lallana
0,11081,1951,0,4992504,False,39,-229910,Lamptey
0,-839,-146,0,4992504,True,61,-221981,March
0,-61,-8,0,4992504,False,39,-1076,McGill
0,-120,-25,0,4992504,True,48,-14986,Milner
0,31271,8614,0,4992504,False,64,-2421917,Mitoma
0,18,-1,0,4992504,False,44,-3288,Moder
0,-2856,-634,0,4992504,False,45,-83122,Sanchez
0,-6,-1,0,4992504,False,45,-1583,Sarmiento
0,0,0,0,4992504,False,40,-35,Scherpen
0,69,-2,0,4992504,False,42,-315777,Steele
0,0,0,0,4992504,False,55,-4471,Undav
0,23736,5584,1,4992504,False,41,212538,Van Hecke
0,0,2,0,4992504,False,43,-69424,Veltman
0,1721,364,0,4992504,False,44,-14436,Verbruggen
0,117,23,0,4992504,False,42,-17492,Webster
0,10664,2309,0,4992504,False,57,-153420,Welbeck
0,-233,-41,0,4992504,False,44,-78764,Zeqiri
0,6362,1255,0,4992504,False,42,23367,Agyei
0,10417,1932,0,4992504,False,38,152323,Al-Dakhil
0,-3,0,0,4992504,False,49,-2362,Bastien
0,9,4,0,4992504,False,52,-13748,Benson
0,-1899,-425,0,4992504,False,40,-311115,Beyer
0,-24,3,0,4992504,False,47,-8754,Brownhill
0,-13,-2,0,4992504,False,44,-2576,Churlinov
0,1,-1,0,4992504,False,48,-1970,Cork
0,-2,0,0,4992504,False,45,-2822,Costelloe
0,-24,-7,0,4992504,False,50,-3343,Cullen
0,-298,-59,0,4992504,False,39,-1849,Egan-Riley
0,24,8,0,4992504,False,39,-11269,Ekdal
0,-1333,-245,0,4992504,True,47,-2376,Foster
0,-178,-36,0,4992504,False,39,-4601,Franchi
0,-5,0,0,4992504,False,48,-2900,Gudmundsson
0,-8,-2,0,4992504,False,40,-1772,McNally
0,-22,-5,0,4992504,False,43,-15827,Muric
0,542,83,0,4992504,False,44,-902,O'Shea
0,-30,-5,0,4992504,False,49,-3379,Obafemi
0,-2,0,0,4992504,False,40,-1066,Peacock-Farrell
0,-197,-42,0,4992504,False,43,-17862,Roberts
0,-107,-19,0,4992504,False,53,-12377,Rodriguez
0,-1815,-443,0,4992504,False,40,296000,Taylor
0,-2,0,0,4992504,False,40,-1395,Thomas
0,-1,0,0,4992504,False,49,-2570,Twine
0,-84,-14,0,4992504,False,39,1466,Vigouroux
0,-72,-8,0,4992504,False,44,-6049,Vitinho
0,-15,-4,0,4992504,False,55,-14990,Weghorst
0,-24,-3,0,4992504,False,46,-10687,Zaroury
0,-2,0,0,4992504,False,40,-925,Ampadu
0,-157,-32,0,4992504,False,42,-7509,Andrey
0,-23,-2,0,4992504,False,50,-83123,Arrizabalaga
0,-3,-1,0,4992504,False,65,-2017,Aubameyang
0,0,0,0,4992504,False,45,-100,Azpilicueta
0,0,0,0,4992504,False,40,-291,Baba
0,-381,-75,0,4992504,True,44,-58,B.Badiashile
0,5,1,0,4992504,False,40,-438,Bettinelli
0,-623,-107,0,4992504,False,49,12224,Broja
0,125,20,0,4992504,False,43,-16037,Chalobah
0,3570,392,0,4992504,False,54,-1016396,Chilwell
0,-4806,-966,0,4992504,True,42,-132051,Chukwuemeka
0,-2831,-896,0,4992504,False,47,51875,Colwill
0,-261,-53,0,4992504,True,48,-32240,Cucurella
0,-46,-51,0,4992504,False,48,-213044,Enzo
0,3111,685,0,4992504,False,50,16161,D.D.Fofana
0,-6,-1,0,4992504,True,44,-2508,W.Fofana
0,437,48,0,4992504,False,54,-6349,Gallagher
0,6027,202,0,4992504,False,42,485205,Gusto
0,-58,-21,0,4992504,False,43,-10413,Hall
0,18573,4163,0,4992504,False,47,27252,Hudson-Odoi
0,-1524,-255,0,4992504,True,53,-1254149,James
0,-33,-5,0,4992504,False,68,-52834,Lukaku
0,-424,-78,0,4992504,False,53,-2445,Madueke
0,-251,-36,0,4992504,True,68,-259696,Mount
0,-1495,-286,0,4992504,False,63,-200842,Mudryk
0,-1338,-323,0,4992504,False,68,-1131515,N.Jackson
0,-7096,-1298,0,4992504,False,73,-46111,Nkunku
0,0,0,0,4992504,False,55,-406,Pulisic
0,-33,-7,0,4992504,False,43,-4946,M.Sarr
0,-6,-1,0,4992504,False,40,-4224,Slonina
0,-2711,-904,0,4992504,False,69,237369,Sterling
0,-18540,-3166,0,4992504,True,50,-14043,T.Silva
0,-4,0,0,4992504,False,54,-15460,Ziyech
0,-441,-70,0,4992504,False,43,20079,Ahamada
0,14029,3536,0,4992504,False,47,1134224,Andersen
0,4482,1246,0,4992504,False,54,-9106,J.Ayew
0,-22,-11,0,4992504,False,44,-4721,Clyne
0,-24,-4,0,4992504,True,49,-3641,C.Doucouré
0,-32,-5,0,4992504,False,44,-4032,Ebiowei
0,1419,396,0,4992504,False,54,-86009,Edouard
0,-5355,-1027,0,4992504,True,60,-1268068,Eze
0,-62,-13,0,4992504,False,44,-68408,Guaita
0,-10486,-2169,0,4992504,True,43,21173,Guéhi
0,-51,-12,0,4992504,False,49,-55,Hughes
0,451,321,-1,4992504,False,44,-26544,Johnstone
0,243,41,0,4992504,False,47,-26248,Lerma
0,6409,2012,0,4992504,False,49,14632,Mateta
0,-15,-9,0,4992504,False,39,-2591,Matthews
0,5958,1476,0,4992504,False,45,229639,Mitchell
0,-25,-7,0,4992504,False,40,-10025,O'Brien
-1,-10220,-1911,0,4992504,True,58,42511,Olise
0,-3,-1,0,4992504,False,45,-1576,Plange
0,2255,632,0,4992504,False,39,12171,C.Richards
0,64,12,0,4992504,False,43,-1393,Riedewald
0,-23,-27,0,4992504,False,49,-8671,Schlupp
0,-101,-12,0,4992504,False,40,-48310,Tomkins
0,361,80,0,4992504,False,45,-10936,Ward
0,58,-14,0,4992504,False,39,-26407,Whitworth
0,-113,-17,0,4992504,True,44,-17824,André Gomes
0,18903,3477,0,4992504,False,42,507603,Branthwaite
0,79,9,0,4992504,False,58,-16495,Calvert-Lewin
0,64,12,0,4992504,False,44,-2903,Coleman
0,-6,-3,0,4992504,True,48,-2862,Dele
0,898,197,0,4992504,False,55,8250,A.Doucoure
0,-65,-6,0,4992504,False,49,2360,Garner
0,-1,0,0,4992504,False,44,-2162,Gbamin
0,74,9,0,4992504,False,43,-7119,Godfrey
0,-8,0,0,4992504,False,53,-29140,Gray
0,2,-1,0,4992504,False,48,-2790,Gana
0,-196,-58,0,4992504,False,40,-132492,Holgate
0,-142,-25,0,4992504,False,53,-51549,Iwobi
0,-118,-21,0,4992504,False,43,-10839,Keane
0,-588,-384,0,4992504,False,49,33458,Maupay
0,-85,71,0,4992504,False,54,16444,McNeil
0,14252,2841,0,4992504,False,46,596581,Mykolenko
0,309,110,0,4992504,False,47,-12435,Onana
0,-107,-32,0,4992504,False,44,-8815,Patterson
0,27296,4888,1,4992504,False,46,-265001,Pickford
0,-8,-3,0,4992504,False,45,-3671,Simms
0,6666,1381,0,4992504,False,46,369262,Tarkowski
0,-300,-66,0,4992504,False,39,-10374,J.Virginia
0,-1701,-337,0,4992504,False,53,-26959,Andreas
0,-113,-15,0,4992504,False,49,2678,Cairney
0,0,0,0,4992504,False,50,-1008,I.Cavaleiro
0,81,45,0,4992504,False,53,727,De Cordova-Reid
