player_ids,price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
1,,-6,-6,0,4585382,False,44,-53238,Balogun
2,,93,93,0,4585382,False,38,-5730,Cédric
3,,-4,-4,0,4585382,False,44,-6663,M.Elneny
4,,-2,-2,0,4585382,False,54,-7347,Fábio Vieira
5,,-12782,-12782,0,4585382,False,53,-88531,Gabriel
6,,-1435,-1435,1,4585382,False,72,-166564,Havertz
7,,-2,-2,0,4585382,True,43,-10457,Holding
8,,-729,-729,0,4585382,False,78,-85457,G.Jesus
9,,-8,-8,0,4585382,False,53,-9771,Jorginho
10,,-596,-596,1,4585382,False,44,138600,Kiwior
11,,0,0,0,4585382,False,45,-11070,Marquinhos
12,,-7388,-7388,0,4585382,False,77,-876543,Martinelli
13,,-630,-630,0,4585382,False,51,-97296,Nketiah
14,,-14184,-14184,0,4585382,False,85,-704206,Ødegaard
15,,-1,-1,0,4585382,False,48,-29030,Thomas
16,,-1,-1,0,4585382,False,49,-5808,Pepe
17,,-634,-634,0,4585382,False,45,-1215669,Ramsdale
18,,-6,-6,0,4585382,False,40,-10521,Rúnarsson
19,,-50658,-50658,-1,4585382,False,91,672174,Saka
20,,-17425,-17425,0,4585382,False,58,1952869,Saliba
21,,-12,-12,0,4585382,False,49,-784,Sambi
22,,-8,-8,0,4585382,False,53,-11500,Smith Rowe
23,,-101,-101,0,4585382,True,40,-6595,Tavares
24,,-1,-1,0,4585382,False,44,-26109,Tierney
25,,11,11,0,4585382,False,45,-11647,Tomiyasu
26,,-1505,-1505,0,4585382,False,65,-338610,Trossard
27,,-589,-589,0,4585382,False,39,96137,Trusty
28,,-1502,-1502,0,4585382,False,39,-237836,Turner
29,,3875,3875,1,4585382,False,57,249098,White
30,,0,0,0,4585382,False,60,-1227,Xhaka
31,,-1938,-1938,0,4585382,False,50,-150624,Zinchenko
32,,2196,2196,0,4585382,False,52,351650,Alex Moreno
33,,-1915,-1915,0,4585382,True,42,-199224,Archer
34,,8842,8842,0,4585382,False,57,432088,Bailey
35,,2,2,0,4585382,True,57,-16384,Buendia
36,,3075,3075,0,4585382,False,46,684264,Cash
37,,-238,-238,0,4585382,False,38,23827,Chambers
