player_ids,price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_since_yesterday,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today
1,,0,0,0,5432576,False,44,-52542
2,,0,0,0,5432576,False,39,-7935
3,,0,0,0,5432576,False,44,-6365
4,,0,0,0,5432576,False,54,-7172
5,,0,0,0,5432576,False,50,-1050390
6,,0,0,0,5432576,False,71,-306708
8,,0,0,0,5432576,False,80,110106
9,,0,0,0,5432576,False,53,-9727
10,,0,0,0,5432576,False,43,-4447
11,,0,0,0,5432576,False,45,-10965
12,,0,0,0,5432576,False,77,-804504
13,,0,0,0,5432576,False,52,-28844
14,,0,0,0,5432576,False,85,-754765
15,,0,0,0,5432576,False,48,-28729
16,,0,0,0,5432576,False,49,-5734
17,,0,0,0,5432576,False,45,-1188094
18,,0,0,0,5432576,False,40,-10140
19,,0,0,0,5432576,False,91,328411
20,,0,0,0,5432576,False,56,1693644
22,,0,0,0,5432576,False,53,-11106
24,,0,0,0,5432576,False,44,-25938
25,,0,0,0,5432576,True,45,-9065
26,,0,0,0,5432576,False,65,-385937
29,,0,0,0,5432576,False,56,105188
30,,0,0,0,5432576,False,60,-1218
31,,0,0,0,5432576,False,52,362586
113,,0,0,0,5432576,False,49,116297
540,,0,0,0,5432576,False,54,-196424
578,,0,0,0,5432576,False,48,-1320
585,,0,0,0,5432576,True,46,-466998
646,,0,0,0,5432576,False,40,656
735,,0,0,0,5432576,False,45,174
736,,0,0,0,5432576,False,40,963
737,,0,0,0,5432576,False,45,138
764,,0,0,0,5432576,False,45,21
772,,0,0,0,5432576,False,45,21
32,,0,0,0,5432576,False,51,147523
34,,0,0,0,5432576,False,57,265193
35,,0,0,0,5432576,True,57,-16359
36,,0,0,0,5432576,False,47,802552
37,,0,0,-1,5432576,False,38,-46534
38,,0,0,0,5432576,False,58,-42926
39,,0,0,0,5432576,False,49,-18179
40,,0,0,0,5432576,False,49,-594
41,,0,0,0,5432576,False,44,15218
42,,0,0,0,5432576,False,46,123612
43,,0,0,0,5432576,False,56,683181
44,,0,0,0,5432576,True,50,3131
45,,0,0,0,5432576,False,39,-5919
46,,0,0,0,5432576,False,44,-2258
47,,0,0,0,5432576,False,50,-3445
48,,0,0,0,5432576,False,46,215913
49,,0,0,0,5432576,False,52,414305
50,,0,0,-1,5432576,False,55,112685
51,,0,0,0,5432576,True,41,-1059931
53,,0,0,0,5432576,False,39,-29752
54,,0,0,0,5432576,False,45,-10772
55,,0,0,0,5432576,False,59,-5878
56,,0,0,0,5432576,False,45,-616
57,,0,0,0,5432576,False,40,-373
58,,0,0,0,5432576,False,56,-75194
59,,0,0,0,5432576,False,50,-1946
60,,0,0,-1,5432576,False,88,3028384
61,,0,0,0,5432576,False,50,-782
584,,0,0,-1,5432576,True,46,126164
599,,0,0,0,5432576,False,66,167061
618,,0,0,0,5432576,False,45,-744
670,,0,0,0,5432576,False,40,830
672,,0,0,0,5432576,False,54,1222
686,,0,0,0,5432576,False,40,910
699,,0,0,0,5432576,False,45,9675
765,,0,0,0,5432576,False,40,129
767,,0,0,0,5432576,False,45,82
778,,0,0,0,5432576,False,40,52
793,,0,0,0,5432576,False,40,28
62,,0,0,0,5432576,False,49,-11159
63,,0,0,0,5432576,False,52,-41380
64,,0,0,0,5432576,False,47,-5033
65,,0,0,0,5432576,False,50,2888
66,,0,0,0,5432576,False,50,-1385
67,,0,0,0,5432576,False,45,-392
68,,0,0,0,5432576,True,43,-1617
69,,0,0,0,5432576,True,40,-15296
70,,0,0,0,5432576,False,45,-452
71,,0,0,0,5432576,False,43,-2063
72,,0,0,0,5432576,False,46,-13138
73,,0,0,0,5432576,False,49,-1180
74,,0,0,0,5432576,False,43,-324
75,,0,0,0,5432576,False,43,-4582
76,,0,0,0,5432576,False,46,-28807
77,,0,0,0,5432576,False,46,242004
78,,0,0,0,5432576,False,47,-4104
79,,0,0,0,5432576,False,45,-109
80,,0,0,0,5432576,False,40,-19309
81,,0,0,0,5432576,False,48,-1053
82,,0,0,0,5432576,False,45,69713
83,,0,0,0,5432576,False,45,295868
