price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_ids,player_name
,0,0,0,5281103,False,45,-133,94,Bidstrup
,0,0,0,5281103,False,50,-3531,95,Canós
,0,0,0,5281103,False,45,1846,96,Collins
,0,0,0,5281103,False,40,-531,97,Cox
,0,0,0,5281103,False,48,-8134,98,Damsgaard
,0,0,0,5281103,False,47,-9581,99,Dasilva
,0,0,0,5281103,False,45,-833,100,Dervişoğlu
,0,0,0,5281103,False,45,41607,101,Flekken
,0,0,0,5281103,False,39,198,102,Goode
,0,0,0,5281103,True,43,-170674,103,Henry
,0,0,0,5281103,True,44,-19278,104,Hickey
,0,0,0,5281103,False,53,-3058,105,Janelt
,0,0,0,5281103,False,54,-16838,106,Jensen
,0,0,0,5281103,False,47,3475,107,Lewis-Potter
,0,0,0,5281103,True,68,-427218,108,Mbeumo
,0,0,0,5281103,False,48,-437271,109,Mee
,0,0,0,5281103,False,53,-6441,110,Nørgaard
,0,0,0,5281103,True,49,-442,111,Onyeka
,0,0,0,5281103,False,46,97812,112,Pinnock
,0,0,0,5281103,False,44,-755,114,Roerslev
,0,0,0,5281103,True,52,-7546,115,Schade
,0,0,0,5281103,False,39,127330,116,Strakosha
,0,0,0,5281103,False,81,635620,117,Toney
,0,0,0,5281103,False,45,-1694,118,Trevitt
,0,0,0,5281103,True,56,-235258,119,Wissa
,0,0,0,5281103,False,43,-27733,120,Yarmoliuk
,0,0,0,5281103,False,43,-4046,121,Zanka
,0,0,0,5281103,False,49,-22170,258,Maupay
,0,0,0,5281103,False,44,1091,508,Reguilón
,0,0,0,5281103,False,45,-221,620,Olakigbe
,0,0,0,5281103,False,45,365,684,Brierley
,0,0,0,5281103,True,45,2195,701,Ghoddos
,0,0,0,5281103,False,40,592,725,Kim Ji-Soo
,0,0,0,5281103,False,40,1290,733,Adedokun
,0,0,0,5281103,False,45,26,744,Peart-Harris
,0,0,0,5281103,False,40,362,752,Angelini
,0,0,0,5281103,False,40,143,789,Valdimarsson
,0,0,0,5281103,False,40,92,797,Fredrick
,0,0,0,5281103,True,50,-1206,122,Adingra
,0,0,0,5281103,False,44,-10600,123,Alzate
,0,0,0,5281103,False,45,-4562,124,Ayari
,0,0,0,5281103,False,47,-744,125,Buonanotte
,0,0,0,5281103,False,45,-3886,127,Connolly
,0,0,0,5281103,False,48,-10446,128,Dahoud
,0,0,0,5281103,False,50,-167535,129,Dunk
,0,0,0,5281103,True,50,-339402,130,Enciso
,0,0,0,5281103,False,51,-2204412,131,Estupiñan
,0,0,0,5281103,False,58,-219845,132,Ferguson
,0,0,0,5281103,False,49,11942,133,Gilmour
,0,0,-1,5281103,False,64,163831,134,Gross
,0,0,-1,5281103,False,54,-1145916,135,João Pedro
,0,0,0,5281103,False,40,-2376,136,Karbownik
,0,0,0,5281103,False,45,-131,137,Kozłowski
,0,0,0,5281103,False,49,-3821,138,Lallana
,0,0,0,5281103,False,39,-310924,139,Lamptey
,0,0,0,5281103,True,61,-218839,140,March
