price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
0,-40,-20,0,4988507,False,44,-52922,Balogun
0,-102,-51,0,4988507,False,39,-9018,Cédric
0,-18,-9,0,4988507,False,44,-6455,M.Elneny
0,-24,-12,0,4988507,False,54,-7315,Fábio Vieira
1,87438,43719,0,4988507,False,51,-552247,Gabriel
0,1344,672,0,4988507,False,71,-312725,Havertz
0,-8,-4,0,4988507,True,43,-10216,Holding
0,-6012,-3006,0,4988507,False,78,-64406,G.Jesus
0,-48,-24,0,4988507,False,53,-9643,Jorginho
0,6538,3269,0,4988507,False,43,4714,Kiwior
0,-4,-2,0,4988507,False,45,-11020,Marquinhos
0,-1684,-842,0,4988507,False,77,-830309,Martinelli
0,-2424,-1212,0,4988507,False,51,-71126,Nketiah
0,33424,16712,0,4988507,False,84,-978183,Ødegaard
0,-18,-9,0,4988507,True,48,-28927,Thomas
0,-2,-1,0,4988507,False,49,-5770,Pepe
0,-2038,-1019,0,4988507,False,45,-1207525,Ramsdale
0,-26,-13,0,4988507,False,40,-10309,Rúnarsson
0,107622,53811,0,4988507,False,90,232503,Saka
0,47928,23964,1,4988507,False,57,1707478,Saliba
0,-18,-9,0,4988507,False,49,-142,Sambi
0,-34,-17,0,4988507,False,53,-11310,Smith Rowe
0,2060,1030,0,4988507,False,40,-6559,Tavares
0,-6,-3,0,4988507,False,44,-26024,Tierney
0,-124,-62,0,4988507,False,45,-10044,Tomiyasu
0,18238,9119,0,4988507,False,65,-352693,Trossard
0,-350,-175,0,4988507,False,39,110781,Trusty
0,-3196,-1598,0,4988507,False,39,-131905,Turner
0,9600,4800,0,4988507,False,56,60265,White
0,0,0,0,4988507,False,60,-1225,Xhaka
0,-21586,-10793,0,4988507,False,51,111777,Zinchenko
0,15522,7761,0,4988507,False,51,270820,Alex Moreno
0,188,94,0,4988507,False,43,-13404,Archer
0,2972,1486,0,4988507,False,56,256972,Bailey
0,-4,-2,0,4988507,True,57,-16370,Buendia
0,11590,5795,0,4988507,False,46,663130,Cash
0,3748,1874,0,4988507,False,38,10779,Chambers
0,-12,-6,0,4988507,False,58,-43043,Coutinho
0,-12,-6,0,4988507,False,49,-18311,Davis
0,-20,-10,0,4988507,False,49,-1306,Dendoncker
0,-3446,-1723,0,4988507,True,44,6602,Diego Carlos
0,1428,714,0,4988507,False,46,87845,Digne
0,14860,7430,0,4988507,False,55,652871,Douglas Luiz
0,-122,-61,0,4988507,True,50,1066,Duran
0,-10,-5,0,4988507,False,39,-6031,Hause
0,2,1,0,4988507,False,44,-2214,Iroegbunam
0,-166,-83,0,4988507,True,50,-3932,Kamara
0,-6358,-3179,0,4988507,True,45,56198,Konsa
0,11598,5799,0,4988507,False,52,440148,Martinez
0,-1696,-848,0,4988507,False,55,91465,McGinn
0,-162,-81,0,4988507,True,41,-1062293,Mings
0,-336,-168,0,4988507,True,44,-75261,Nakamba
0,-84,-42,0,4988507,False,39,-30143,Olsen
0,0,0,0,4988507,False,45,-10844,Philogene
0,196,98,0,4988507,False,59,-5354,J.Ramsey
0,-2,-1,0,4988507,False,45,-622,Sanson
0,-2,-1,0,4988507,False,40,-382,Sinisalo
