price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
0,0,0,0,4986340,False,44,-52902,Balogun
0,0,0,0,4986340,False,39,-8967,Cédric
0,0,0,0,4986340,False,44,-6446,M.Elneny
0,0,0,0,4986340,False,54,-7303,Fábio Vieira
0,0,0,0,4986340,False,51,-595966,Gabriel
0,0,0,0,4986340,False,71,-313397,Havertz
0,0,0,0,4986340,True,43,-10212,Holding
0,0,0,0,4986340,False,78,-61400,G.Jesus
0,0,0,0,4986340,False,53,-9619,Jorginho
0,0,0,0,4986340,False,43,1445,Kiwior
0,0,0,0,4986340,False,45,-11018,Marquinhos
0,0,0,0,4986340,False,77,-829467,Martinelli
0,0,0,0,4986340,False,51,-69914,Nketiah
0,0,0,0,4986340,False,84,-994895,Ødegaard
0,0,0,0,4986340,True,48,-28918,Thomas
0,0,0,0,4986340,False,49,-5769,Pepe
0,0,0,0,4986340,False,45,-1206506,Ramsdale
0,0,0,0,4986340,False,40,-10296,Rúnarsson
0,0,0,0,4986340,False,90,178692,Saka
1,0,0,0,4986340,False,56,1683514,Saliba
0,0,0,0,4986340,False,49,-133,Sambi
0,0,0,0,4986340,False,53,-11293,Smith Rowe
0,0,0,0,4986340,False,40,-7589,Tavares
0,0,0,0,4986340,False,44,-26021,Tierney
0,0,0,0,4986340,False,45,-9982,Tomiyasu
0,0,0,0,4986340,False,65,-361812,Trossard
0,0,0,0,4986340,False,39,110956,Trusty
0,0,0,0,4986340,False,39,-130307,Turner
0,0,0,0,4986340,False,56,55465,White
0,0,0,0,4986340,False,60,-1225,Xhaka
0,0,0,0,4986340,False,51,122570,Zinchenko
0,0,0,0,4986340,False,51,263059,Alex Moreno
0,0,0,0,4986340,False,43,-13498,Archer
0,0,0,0,4986340,False,56,255486,Bailey
0,0,0,0,4986340,True,57,-16368,Buendia
0,0,0,0,4986340,False,46,657335,Cash
0,0,0,0,4986340,False,38,8905,Chambers
0,0,0,0,4986340,False,58,-43037,Coutinho
0,0,0,0,4986340,False,49,-18305,Davis
0,0,0,0,4986340,False,49,-1296,Dendoncker
0,0,0,0,4986340,True,44,8325,Diego Carlos
0,0,0,0,4986340,False,46,87131,Digne
0,0,0,0,4986340,False,55,645441,Douglas Luiz
0,0,0,0,4986340,True,50,1127,Duran
0,0,0,0,4986340,False,39,-6026,Hause
0,0,0,0,4986340,False,44,-2215,Iroegbunam
