price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
0,-14,-14,0,5133285,False,44,-52821,Balogun
0,-35,-35,0,5133285,False,39,-8774,Cédric
0,3,3,0,5133285,False,44,-6476,M.Elneny
0,-6,-6,0,5133285,False,54,-7277,Fábio Vieira
0,68105,31620,1,5133285,False,51,-872568,Gabriel
0,-274,-274,0,5133285,False,71,-312702,Havertz
0,-12,-12,0,5133285,True,43,-10149,Holding
0,-6558,-6558,0,5133285,False,79,-29281,G.Jesus
0,-10,-10,0,5133285,False,53,-9555,Jorginho
0,422,422,0,5133285,False,43,-2808,Kiwior
0,-2,-2,0,5133285,False,45,-11007,Marquinhos
0,-3323,-3323,0,5133285,False,77,-814671,Martinelli
0,-1227,-1227,0,5133285,False,52,-65567,Nketiah
0,-3209,-3209,0,5133285,False,84,-975072,Ødegaard
0,-11,-11,0,5133285,True,48,-28874,Thomas
0,-1,-1,0,5133285,False,49,-5760,Pepe
0,-1110,-1110,0,5133285,False,45,-1201421,Ramsdale
0,-11,-11,0,5133285,False,40,-10248,Rúnarsson
0,8682,8682,0,5133285,False,90,159657,Saka
0,14796,14796,0,5133285,False,56,1563986,Saliba
0,26,26,0,5133285,False,49,-115,Sambi
0,-50,-50,0,5133285,False,53,-11119,Smith Rowe
0,75,75,0,5133285,False,40,-8447,Tavares
0,-2,-2,0,5133285,False,44,-25999,Tierney
0,-53,-53,0,5133285,False,45,-9662,Tomiyasu
0,2795,2795,0,5133285,False,65,-377819,Trossard
0,-310,-310,0,5133285,False,39,112816,Trusty
0,-1050,-1050,0,5133285,False,39,-111601,Turner
0,-43,-43,0,5133285,False,56,44371,White
0,0,0,0,5133285,False,60,-1223,Xhaka
-1,-19676,-19676,0,5133285,False,52,218466,Zinchenko
0,1499,1499,0,5133285,False,51,236851,Alex Moreno
0,4245,4245,0,5133285,False,43,-32641,Archer
0,18,18,0,5133285,False,56,255962,Bailey
0,-4,-4,0,5133285,True,57,-16371,Buendia
0,-6928,-6928,0,5133285,False,46,677874,Cash
0,3229,3229,0,5133285,False,38,-17448,Chambers
0,-8,-8,0,5133285,False,58,-43014,Coutinho
0,-11,-11,0,5133285,False,49,-18278,Davis
0,-15,-15,0,5133285,False,49,-1192,Dendoncker
0,460,460,0,5133285,False,44,20239,Diego Carlos
0,-136,-136,0,5133285,False,46,86947,Digne
0,8944,8944,0,5133285,False,55,614966,Douglas Luiz
0,-74,-74,0,5133285,True,50,1431,Duran
0,-3,-3,0,5133285,False,39,-6131,Hause
0,3,3,0,5133285,False,44,-2246,Iroegbunam
0,-144,-144,0,5133285,True,50,-3326,Kamara
0,-13195,-6528,-1,5133285,True,45,96440,Konsa
0,-1553,-1553,0,5133285,False,52,431953,Martinez
0,-1481,-1481,0,5133285,False,55,98588,McGinn
0,-110,-110,0,5133285,True,41,-1061582,Mings
0,-220,-220,0,5133285,True,44,-73371,Nakamba
0,-15,-15,0,5133285,False,39,-30250,Olsen
0,-3,-3,0,5133285,False,45,-10832,Philogene
0,44,44,0,5133285,False,59,-5792,J.Ramsey
0,0,0,0,5133285,False,45,-620,Sanson
0,0,0,0,5133285,False,40,-381,Sinisalo
0,-53,-53,0,5133285,False,56,-74502,Tielemans
0,-4,-4,0,5133285,False,50,-1978,Bertrand Traoré
0,-114451,-52734,-1,5133285,False,87,2734768,Watkins
0,-2,-2,0,5133285,False,50,-787,Wesley
0,-3,-3,0,5133285,False,49,-11194,Anthony
0,-306,-306,0,5133285,False,52,-48040,Billing
0,-28,-28,0,5133285,False,47,-5867,Brooks
0,-17,-17,0,5133285,False,50,2258,Christie
0,-3,-3,0,5133285,False,50,-1335,L.Cook
0,0,0,0,5133285,False,45,-392,Siriki
0,-3,-3,0,5133285,True,43,-1602,Fredericks
0,-14,-14,0,5133285,True,40,-15492,Hill
0,-14,-14,0,5133285,False,45,310,Kelly
0,-36,-36,0,5133285,False,43,-2703,Kilkenny
0,-310,-310,0,5133285,False,46,-14141,Kluivert
0,0,0,0,5133285,False,49,-1187,Lowe
0,-16,-16,0,5133285,False,43,-661,Marcondes
0,4,4,0,5133285,False,43,-4583,Mepham
0,-97,-97,0,5133285,False,46,-30619,Moore
0,-2039,-2039,0,5133285,False,46,238652,Neto
0,6,6,0,5133285,False,47,-4078,O.Dango
0,-1,-1,0,5133285,False,45,-110,Pearson
0,-40,-40,0,5133285,False,40,-19790,Randolph
0,-3,-3,0,5133285,False,48,-1121,Rothwell
0,-242,-242,0,5133285,False,45,51001,Semenyo
0,1388,1388,0,5133285,False,45,291490,Senesi
0,-119,-119,0,5133285,False,44,7285,Smith
0,-108734,-53206,-1,5133285,False,69,1931353,Solanke
0,-1008,-1008,0,5133285,False,54,42135,Tavernier
0,-1,-1,0,5133285,False,47,-1536,Hamed Traorè
0,7,7,0,5133285,False,40,-8598,Travers
0,-134,-134,0,5133285,False,44,7885,Zabarnyi
0,26,26,0,5133285,False,44,-12238,Ajer
0,-7,-7,0,5133285,False,39,-6421,Balcombe
0,104,104,0,5133285,False,43,-210179,Baptiste
0,-10,-10,0,5133285,False,40,-13439,Bech
0,0,0,0,5133285,False,45,-133,Bidstrup
0,0,0,0,5133285,False,50,-3537,Canós
0,887,887,0,5133285,False,45,4892,Collins
0,-1,-1,0,5133285,False,40,-536,Cox
0,21,21,0,5133285,False,48,-8020,Damsgaard
0,-11,-11,0,5133285,True,47,-9655,Dasilva
0,0,0,0,5133285,False,45,-838,Dervişoğlu
0,5218,5218,0,5133285,False,45,76539,Flekken
0,-96,-96,0,5133285,False,39,-613,Goode
0,-117,-117,0,5133285,True,43,-171648,Henry
0,-28,-28,0,5133285,True,44,-19478,Hickey
0,206,206,0,5133285,False,53,-2204,Janelt
0,1789,1789,0,5133285,False,54,-8675,Jensen
0,14,14,0,5133285,False,47,3074,Lewis-Potter
0,-1861,-1861,0,5133285,True,68,-441036,Mbeumo
0,2499,2499,0,5133285,False,48,-423303,Mee
