price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
0,-59,-12,0,4991480,False,44,-52949,Balogun
0,-135,-28,0,4991480,False,39,-9074,Cédric
0,-10,-1,0,4991480,False,44,-6455,M.Elneny
0,-22,-2,0,4991480,False,54,-7323,Fábio Vieira
0,63174,17888,1,4991480,False,52,-506961,Gabriel
0,2169,504,0,4991480,False,71,-311732,Havertz
0,-28,-8,0,4991480,True,43,-10232,Holding
0,-8391,-1662,0,4991480,False,78,-68129,G.Jesus
0,-40,-1,0,4991480,False,53,-9658,Jorginho
0,9015,1906,0,4991480,False,43,8554,Kiwior
0,-8,-3,0,4991480,False,45,-11023,Marquinhos
0,-718,208,0,4991480,False,77,-830393,Martinelli
0,-3904,-785,0,4991480,False,51,-73033,Nketiah
0,54544,13606,0,4991480,False,84,-953957,Ødegaard
0,-37,-9,0,4991480,True,48,-28946,Thomas
0,-5,-2,0,4991480,False,49,-5772,Pepe
0,-2975,-619,0,4991480,False,45,-1208862,Ramsdale
0,-33,-8,0,4991480,False,40,-10321,Rúnarsson
0,143905,29799,0,4991480,False,90,292798,Saka
0,62890,12348,1,4991480,False,57,1734056,Saliba
0,6,0,0,4991480,False,49,-127,Sambi
0,-41,-7,0,4991480,False,53,-11327,Smith Rowe
0,2674,560,0,4991480,False,40,-5475,Tavares
0,-7,-1,0,4991480,False,44,-26027,Tierney
0,-206,-56,0,4991480,False,45,-10132,Tomiyasu
0,23452,4540,0,4991480,False,65,-342900,Trossard
0,-740,-198,0,4991480,False,39,110414,Trusty
0,-5443,-1255,0,4991480,False,39,-134495,Turner
0,11857,2155,0,4991480,False,56,65167,White
0,0,0,0,4991480,False,60,-1225,Xhaka
0,-29514,-5801,0,4991480,False,51,98857,Zinchenko
0,21372,4310,0,4991480,False,51,280121,Alex Moreno
0,-10743,-3596,0,4991480,False,43,-20645,Archer
0,6702,2008,0,4991480,False,56,260180,Bailey
0,2,3,0,4991480,True,57,-16369,Buendia
0,15661,3131,0,4991480,False,46,669865,Cash
0,4839,957,0,4991480,False,38,12787,Chambers
0,-28,-8,0,4991480,False,58,-43057,Coutinho
0,-21,-4,0,4991480,False,49,-18322,Davis
0,-25,-4,0,4991480,False,49,-1317,Dendoncker
0,-4779,-943,0,4991480,True,44,4489,Diego Carlos
0,1804,325,0,4991480,False,46,88610,Digne
0,24918,6387,0,4991480,False,55,663972,Douglas Luiz
0,-204,-46,0,4991480,True,50,969,Duran
0,-15,-8,0,4991480,False,39,-6033,Hause
0,-5,-2,0,4991480,False,44,-2218,Iroegbunam
0,-259,-56,0,4991480,True,50,-4052,Kamara
0,-9284,-1946,0,4991480,True,45,52039,Konsa
0,16854,3587,0,4991480,False,52,447616,Martinez
0,-1849,-284,0,4991480,False,55,90748,McGinn
0,-308,-75,0,4991480,True,41,-1062445,Mings
0,-521,-118,0,4991480,True,44,-75496,Nakamba
0,-127,-28,0,4991480,False,39,-30200,Olsen
0,-7,-3,0,4991480,False,45,-10848,Philogene
0,332,85,0,4991480,False,59,-5205,J.Ramsey
0,-1,0,0,4991480,False,45,-622,Sanson
0,-1,0,0,4991480,False,40,-382,Sinisalo
0,443,95,0,4991480,False,56,-74177,Tielemans
0,-9,-2,0,4991480,False,50,-2000,Bertrand Traoré
0,78247,16078,0,4991480,False,87,2509493,Watkins
0,-1,0,0,4991480,False,50,-788,Wesley
0,-8,-1,0,4991480,False,49,-11208,Anthony
0,-438,-89,0,4991480,False,52,-49964,Billing
0,-77,-21,0,4991480,False,47,-6067,Brooks
0,-44,-10,0,4991480,False,50,2104,Christie
0,-23,-7,0,4991480,False,50,-1378,L.Cook
0,0,0,0,4991480,False,45,-392,Siriki
0,-2,-1,0,4991480,True,43,-1597,Fredericks
0,-55,-15,0,4991480,True,40,-15612,Hill
0,122,20,0,4991480,False,45,327,Kelly
0,-106,-25,0,4991480,False,43,-2990,Kilkenny
0,-34,-10,0,4991480,False,46,-15849,Kluivert
0,0,0,0,4991480,False,49,-1188,Lowe
0,-53,-11,0,4991480,False,43,-821,Marcondes
0,-9,-2,0,4991480,False,43,-4599,Mepham
0,-231,-51,0,4991480,False,46,-31274,Moore
0,4323,1240,0,4991480,False,46,230896,Neto
0,-6,1,0,4991480,False,47,-4068,O.Dango
0,0,0,0,4991480,False,45,-110,Pearson
0,-92,-27,0,4991480,False,40,-20037,Randolph
0,-12,-3,0,4991480,False,48,-1137,Rothwell
0,4274,896,0,4991480,False,45,53590,Semenyo
0,17156,3614,0,4991480,False,45,315312,Senesi
0,9,-17,0,4991480,False,44,6707,Smith
0,59363,11006,0,4991480,False,69,1652826,Solanke
0,-50,30,0,4991480,False,54,35367,Tavernier
0,-4,0,0,4991480,False,47,-1556,Hamed Traorè
0,-25,-8,0,4991480,False,40,-8551,Travers
0,-127,-61,0,4991480,False,44,6943,Zabarnyi
0,125,32,0,4991480,False,44,-11959,Ajer
0,-52,-10,0,4991480,False,39,-6576,Balcombe
0,-371,-103,0,4991480,False,43,-209217,Baptiste
0,-17,-4,0,4991480,False,40,-13500,Bech
0,0,0,0,4991480,False,45,-133,Bidstrup
0,-1,0,0,4991480,False,50,-3540,Canós
0,-167,-66,0,4991480,False,45,10143,Collins
0,0,0,0,4991480,False,40,-538,Cox
0,3,1,0,4991480,False,48,-7913,Damsgaard
0,-4,0,0,4991480,True,47,-9697,Dasilva
0,-3,-1,0,4991480,False,45,-841,Dervişoğlu
0,601,397,0,4991480,False,45,134494,Flekken
0,-235,-46,0,4991480,False,39,-1432,Goode
0,-345,-93,0,4991480,True,43,-172622,Henry
0,-61,-18,0,4991480,True,44,-19629,Hickey
0,-47,3,0,4991480,False,53,-1229,Janelt
0,-1310,-240,0,4991480,False,54,304,Jensen
0,-166,-38,0,4991480,False,47,2931,Lewis-Potter
0,-4615,-969,0,4991480,True,68,-453762,Mbeumo
0,772,102,0,4991480,False,48,-404213,Mee
0,-313,-55,0,4991480,False,53,2117,Nørgaard
0,38,12,0,4991480,False,49,-387,Onyeka
0,-27834,-5343,0,4991480,True,46,84728,Pinnock
0,17010,3131,0,4991480,False,50,166985,Raya
0,-46,-14,0,4991480,False,44,918,Roerslev
0,-13,-4,0,4991480,True,52,-7598,Schade
0,-1125,-250,0,4991480,False,39,117579,Strakosha
0,4635,1272,0,4991480,False,82,946437,Toney
0,0,0,0,4991480,False,45,-1704,Trevitt
0,111,14,0,4991480,False,56,-249075,Wissa
0,170,34,0,4991480,False,43,-23757,Yarmoliuk
0,12,4,0,4991480,False,43,-4020,Zanka
0,31477,7276,0,4991480,False,50,20894,Adingra
0,-6,0,0,4991480,False,44,-10652,Alzate
0,0,0,0,4991480,False,45,-4577,Ayari
0,1048,231,0,4991480,False,47,1212,Buonanotte
0,-10,20,0,4991480,False,45,-203802,Caicedo
0,-1,0,0,4991480,False,45,-3905,Connolly
0,-36,-5,0,4991480,False,48,-10694,Dahoud
0,60689,16429,0,4991480,False,50,-111549,Dunk
0,-61,-13,0,4991480,True,50,-339704,Enciso
0,-6531,-996,0,4991480,False,50,-2380977,Estupiñan
0,-3213,-664,0,4991480,False,58,-238884,Ferguson
0,-117,-23,0,4991480,False,49,10761,Gilmour
0,68424,19723,0,4991480,False,64,259558,Gross
0,-40239,-8476,0,4991480,True,53,-1597834,João Pedro
0,-4,0,0,4991480,False,40,-2396,Karbownik
0,0,0,0,4991480,False,45,-131,Kozłowski
0,-19,-5,0,4991480,False,49,-3877,Lallana
