player_ids,price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_since_yesterday,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today
1,0,0,0,0,5596397,False,44,-52476
2,0,0,0,0,5596397,False,39,-7611
3,0,0,0,0,5596397,False,44,-6304
4,0,0,0,0,5596397,False,54,-7149
5,0,0,0,0,5596397,False,50,-1055602
6,0,0,0,0,5596397,False,71,-304854
7,0,0,0,0,5596397,False,80,106699
8,0,0,0,0,5596397,False,53,-9756
9,0,0,0,0,5596397,False,43,-4401
10,0,0,0,0,5596397,False,45,-10958
11,0,0,0,0,5596397,False,77,-820722
12,0,0,0,-1,5596397,False,52,-19980
13,0,0,0,0,5596397,False,85,-708700
14,0,0,0,0,5596397,True,48,-28715
15,0,0,0,0,5596397,False,49,-5728
16,0,0,0,-1,5596397,False,45,-1185630
17,0,0,0,0,5596397,False,40,-10115
18,0,0,0,0,5596397,False,91,386895
19,0,0,0,0,5596397,False,56,1707515
20,0,0,0,0,5596397,False,53,-11229
21,0,0,0,0,5596397,False,44,-25925
22,0,0,0,0,5596397,True,45,-8665
23,0,0,0,0,5596397,False,65,-385733
24,0,0,0,0,5596397,False,56,114297
25,0,0,0,0,5596397,False,60,-1218
26,0,0,0,0,5596397,False,52,348821
27,0,0,0,0,5596397,False,49,115990
28,0,0,0,0,5596397,False,54,-186840
29,0,0,0,0,5596397,False,48,-1324
30,0,0,0,0,5596397,True,46,-466937
31,0,0,0,0,5596397,False,40,651
32,0,0,0,0,5596397,False,45,161
33,0,0,0,0,5596397,False,40,946
34,0,0,0,0,5596397,False,45,135
35,0,0,0,0,5596397,False,45,19
36,0,0,0,0,5596397,False,45,21
37,0,0,0,1,5596397,False,51,143887
38,0,0,0,0,5596397,False,57,281845
39,0,0,0,0,5596397,True,57,-16356
40,0,0,0,0,5596397,False,47,835559
41,0,0,0,0,5596397,False,39,-47798
42,0,0,0,0,5596397,False,58,-42909
43,0,0,0,0,5596397,False,49,-18159
44,0,0,0,0,5596397,False,49,-273
45,0,0,0,0,5596397,False,44,16353
46,0,0,0,0,5596397,True,46,139269
47,0,0,0,0,5596397,False,56,716693
48,0,0,0,0,5596397,True,50,3686
49,0,0,0,0,5596397,False,39,-5828
50,0,0,0,0,5596397,False,44,-2260
51,0,0,0,0,5596397,False,50,-3580
52,0,0,0,0,5596397,False,46,213380
53,0,0,0,0,5596397,False,52,413843
54,0,0,0,0,5596397,False,56,120729
55,0,0,0,0,5596397,True,41,-1059503
56,0,0,0,0,5596397,False,39,-29631
57,0,0,0,0,5596397,False,45,-10759
58,0,0,0,0,5596397,False,59,-5432
59,0,0,0,0,5596397,False,45,-616
60,0,0,0,0,5596397,False,40,-371
61,0,0,0,0,5596397,False,56,-75241
62,0,0,0,0,5596397,True,50,-1943
63,0,0,0,0,5596397,False,89,3146319
64,0,0,0,0,5596397,False,50,-782
65,0,0,0,0,5596397,True,47,187885
66,0,0,0,0,5596397,False,66,194210
67,0,0,0,0,5596397,False,45,-727
68,0,0,0,0,5596397,False,40,888
69,0,0,0,0,5596397,False,54,1237
70,0,0,0,0,5596397,False,40,937
71,0,0,0,0,5596397,False,45,9381
72,0,0,0,0,5596397,False,40,111
73,0,0,0,0,5596397,False,45,72
74,0,0,0,0,5596397,False,40,33
75,0,0,0,0,5596397,False,49,-11151
76,0,0,0,0,5596397,False,52,-40718
77,0,0,0,0,5596397,False,47,-4996
78,0,0,0,0,5596397,False,50,2966
79,0,0,0,0,5596397,False,50,-1384
80,0,0,0,0,5596397,False,45,-392
81,0,0,0,0,5596397,True,43,-1618
82,0,0,0,0,5596397,False,40,-15230
83,0,0,0,0,5596397,False,45,-542
84,0,0,0,0,5596397,False,43,-2029
85,0,0,0,0,5596397,False,46,-12436
86,0,0,0,0,5596397,False,49,-1179
87,0,0,0,0,5596397,False,43,-194
88,0,0,0,0,5596397,False,43,-4584
89,0,0,0,0,5596397,False,46,-28767
90,0,0,0,0,5596397,False,46,244701
91,0,0,0,0,5596397,True,47,-4089
92,0,0,0,0,5596397,False,45,-109
93,0,0,0,0,5596397,False,40,-19222
94,0,0,0,0,5596397,False,48,-1036
95,0,0,0,-1,5596397,False,45,76752
96,0,0,0,0,5596397,False,45,301310
97,0,0,0,0,5596397,False,44,8475
98,0,0,0,0,5596397,False,71,2504026
99,0,0,0,0,5596397,False,54,62464
100,0,0,0,0,5596397,False,47,-1499
101,0,0,0,0,5596397,False,40,-8770
102,0,0,0,0,5596397,False,44,6877
103,0,0,0,0,5596397,False,44,-8272
104,0,0,0,0,5596397,False,44,-3980
105,0,0,0,0,5596397,False,40,-1694
106,0,0,0,0,5596397,True,44,-1677
107,0,0,0,0,5596397,False,49,1594
108,0,0,0,0,5596397,True,49,24
109,0,0,0,0,5596397,False,55,1794
110,0,0,0,0,5596397,False,44,-12325
111,0,0,0,0,5596397,False,39,-6125
112,0,0,0,0,5596397,False,43,-205996
113,0,0,0,0,5596397,False,40,-13240
114,0,0,0,0,5596397,False,45,-133
115,0,0,0,0,5596397,False,50,-3527
116,0,0,0,0,5596397,False,45,3041
117,0,0,0,0,5596397,False,40,-526
118,0,0,0,0,5596397,False,48,-8385
119,0,0,0,0,5596397,False,47,-9633
120,0,0,0,0,5596397,False,45,-823
121,0,0,0,0,5596397,False,45,45824
122,0,0,0,0,5596397,False,39,1946
123,0,0,0,0,5596397,True,43,-169144
124,0,0,0,0,5596397,True,44,-19027
125,0,0,0,0,5596397,False,53,-2925
126,0,0,0,0,5596397,False,54,-16337
127,0,0,0,0,5596397,False,47,5182
128,0,0,0,0,5596397,True,68,-404005
129,0,0,0,0,5596397,False,48,-442751
130,0,0,0,0,5596397,False,54,-6391
131,0,0,0,0,5596397,True,49,-388
132,0,0,0,0,5596397,False,46,125594
133,0,0,0,0,5596397,False,44,-936
134,0,0,0,-1,5596397,True,52,-7501
135,0,0,0,0,5596397,False,39,132977
136,0,0,0,1,5596397,False,80,447456
137,0,0,0,0,5596397,False,45,-1684
138,0,0,0,0,5596397,True,57,-194313
139,0,0,0,0,5596397,False,43,-26724
140,0,0,0,0,5596397,False,43,-3991
141,0,0,0,0,5596397,False,49,-29744
142,0,0,0,0,5596397,False,44,-967
143,0,0,0,0,5596397,False,45,-81
144,0,0,0,0,5596397,False,45,343
145,0,0,0,0,5596397,True,45,2762
146,0,0,0,0,5596397,True,40,662
147,0,0,0,0,5596397,False,40,1149
148,0,0,0,0,5596397,False,45,40
149,0,0,0,0,5596397,False,40,322
150,0,0,0,0,5596397,False,40,26
151,0,0,0,0,5596397,True,50,5351
152,0,0,0,0,5596397,False,44,-10543
153,0,0,0,0,5596397,False,45,-4544
154,0,0,0,0,5596397,False,47,-1623
155,0,0,0,0,5596397,False,45,-3869
156,0,0,0,0,5596397,False,48,-10200
157,0,0,0,0,5596397,False,50,-174867
158,0,0,0,-1,5596397,True,50,-339140
159,0,0,0,1,5596397,False,51,-2257287
160,0,0,0,0,5596397,False,59,-176547
161,0,0,0,0,5596397,False,49,12967
162,0,0,0,0,5596397,False,65,266752
163,0,0,0,1,5596397,False,55,-907747
164,0,0,0,0,5596397,False,40,-2363
165,0,0,0,0,5596397,False,45,-130
166,0,0,0,0,5596397,False,49,-3744
167,0,0,0,0,5596397,False,39,-322848
168,0,0,0,0,5596397,True,61,-216880
169,0,0,0,0,5596397,False,39,-165
170,0,0,0,0,5596397,False,48,-13699
171,0,0,0,0,5596397,True,64,-2394413
172,0,0,0,0,5596397,False,44,-3231
173,0,0,0,0,5596397,False,45,-1568
174,0,0,0,0,5596397,False,40,-33
175,0,0,0,0,5596397,False,42,-325936
176,0,0,0,0,5596397,False,55,-4459
177,0,0,0,0,5596397,False,40,103124
178,0,0,0,0,5596397,True,43,-66131
179,0,0,0,0,5596397,False,44,-14516
